sku,product_name,category,size_range,short_description,product_url
P569,Vic-Press™ Series P569 Ball Valve for Type 316 Sch. 10S,Valves,,"Three-piece, swing-out design permits easy in-line maintenance.. Sizes from ½ - 2"" | DN15 - DN50. Pressures up to 400 psi | 2758 kPa | 21 bar",https://www.victaulic.com/products/style-p569-vic-press-ball-valve-for-type-316-sch-10s/
905,Style 905 Coupling for HDPE,Couplings,,"Style 905. Designed for plain end HDPE pipe (SDR 7 - SDR 26). Sizes from 2 - 14"" IPS and 63 - 355 mm ISO. Pressure rating meets or exceeds the performance capabilities of the pipe",https://www.victaulic.com/products/style-905-coupling-plain-end-hdpe-pipe/
908,Style 908 Coupling for HDPE,Couplings,,"Style 908. Sizes from 16-36"" IPS; larger sizes available upon request. Designed for double grooved HDPE (SDR 7 - SDR 21). For sizes above 36"" or 900 mm, Contact Victaulic for details",https://www.victaulic.com/products/style-908-coupling-double-grooved-hdpe-pipe/
250-S,Series 250-S Butterfly Valve for Stainless Steel Pipe,Valves,,"For use on commercial stainless steel piping systems, including potable water, technology cooling, chilled, heating and condenser water, water […]",https://www.victaulic.com/products/series-250-s-butterfly-valve-for-stainless-steel-pipe/
P507,Vic-Press™ Style P507 Coupling for Type 316 Sch. 10S,Couplings,,"Style P507. Fast, easy, reliable way to join small diameter Schedule 5S or 10S Type 316/316L stainless steel. Meet ASME requirements for ANSI Class 150 systems. Sizes from DN15 - DN50 | ½ - 2""",https://www.victaulic.com/products/style-p507-vic-press-coupling-for-type-316-sch-10s/
P508,Vic-Press™ Style P508 Slip Coupling for Type 316 Sch. 10S,Couplings,,"Style P508. Fast, easy, reliable way to join small diameter Schedule 5S or 10S Type 316/316L stainless steel. Meet ASME requirements for ANSI Class 150 systems. Sizes from DN15 - DN50 | ½ - 2""",https://www.victaulic.com/products/style-p508-vic-press-slip-coupling-for-type-316-sch-10s/
717,FireLock™ Series 717 Check Valve,Valves,,"Features an elastomer encapsulated disc with an electroless nickel plated seat. Sizes from 2½ - 12"" | DN65 - DN300. Pressures up to 365 psi | 2517 kPa | 25 bar",https://www.victaulic.com/products/series-717-firelock-check-valve/
766,FireLock™ Series 766 Butterfly Valve – Supervised Closed,Valves,,"Designed to be Supervised Closed during normal operating conditions. Ductile iron body and disc with nitrile seats. Sizes from 2 - 8"" | DN50 - DN200",https://www.victaulic.com/products/series-766-firelock-high-pressure-butterfly-valve-supervised-closed/
707C,FireLock™ Series 707C Butterfly Valve – Supervised Closed,Valves,,"Design to be Supervised Closed during normal operating conditions. Ductile iron body and disc with EPDM seats. Sizes from 2 - 8"" | DN50 - DN200",https://www.victaulic.com/products/series-707c-firelock-butterfly-valve-supervised-closed/
705,FireLock™ Series 705 Butterfly Valve – Supervised Open,Valves,,"Weatherproof actuator housing approved for indoor or outdoor use. Ductile iron body and disc with EPDM seats. Sizes from 2 - 12"" | DN50 - DN300",https://www.victaulic.com/products/series-705-firelock-butterfly-valve-supervised-open/
250-C,Series 250-C Butterfly Valve for Copper Tubing,Valves,,"Victaulic's Series 250-C Butterfly Valve is ideal for copper tubing systems used in potable, chilled, heating, and condenser water.",https://www.victaulic.com/products/series-250-c-butterfly-valve-for-copper-tubing/
786V,Series 786V Manual Balancing Valve,Valves,,"The Series 786V is a “Y” patterned globe valve with a digital hand wheel with 4 turns to open, including a memory stop.",https://www.victaulic.com/products/series-786v-manual-balancing-valve/
788V,Series 788V Manual Balancing Valve,Valves,,"The Series 788V is a “Y” patterned globe valve with a digital hand wheel with 8, 12 or 16 turns to open, including memory stop.",https://www.victaulic.com/products/series-788v-manual-balancing-valve/
787V,Series 787V Manual Balancing Valve,Valves,,"The Series 787V is a “Y” patterned globe valve with a digital hand wheel with 4 turns to open, Including memory stop.",https://www.victaulic.com/products/series-787v-manual-balancing-valve/
789V,Series 789V Manual Balancing Valve,Valves,,"The Series 789V is a “Y” patterned globe valve with a digital hand wheel with 8, 12 or 16 turns to open, including memory stop.",https://www.victaulic.com/products/series-789v-manual-balancing-valve/
790V,Series 790V Manual Balancing Valve,Valves,,"The Series 790V can be used on heating (not steam), cooling, and potable water systems with balancing, shut-off, and more capabilities.",https://www.victaulic.com/products/series-790v-manual-balancing-valve/
78KV,Series 78KV Balancing Valve,Valves,,"The Series 78KV is a “Y” patterned globe valve with a digital hand wheel with 4 turns to open, including memory stop.",https://www.victaulic.com/products/series-78kv-balancing-valve/
,Domestic Water Kits for Hydronic Balancing,Fire Protection,,Domestic Water Kits for Hydronic Balancing | For use on potable water systems | Flow-limiting recirculation balancing/control options,https://www.victaulic.com/products/domestic-water-kits-for-hydronic-balancing/
,Manual Balancing Valves,Valves,,"“Y” patterned globe valve. TA Series 786, 787H & 78KH: Digital hand wheel with 4 turns to open; Includes memory stop. TA Series 788 & 789: Digital hand wheel with 8, 12 or 16 turns to open (depending on size); Includes memory stop",https://www.victaulic.com/products/manual-balancing-valve/
,Automatic Balancing Valves,Valves,,"Pressures up to 365psi | 2517 kPa | 25bar. Rated from -4°F to 250°F | -20°C to 120°C. Series 76T, 76B, 76K, 76V Sizes from ½ - 2"" | DN15 - DN50 Contains an automatic cartridge with a replaceable orifice plate, specify cartridge type when ordering DZR Brass body with an EPDM O",https://www.victaulic.com/products/series-76t-series-76b-series-76g-series-76k-series-76tv-automatic-balancing-valve/
78BL,TA Series 78BL Balancing Valve,Valves,,"Shut-off, manual throttling and measuring valve with reduced port. IAPMO certified in accordance with ANSI/NSF 61 for cold +73°F | +23°C and hot +180°F | +82°C potable water service and ANSI/NSF 372.. Sizes from ½ - 2"" | DN15 - DN50",https://www.victaulic.com/products/ta-series-78bl-balancing-ball-valve/
790,TA Series 790 Balancing Valve for Potable Water Applications,Valves,,"TA Series 790 Balancing Valve. For use on heating (not steam), cooling, and potable water systems. Balancing, pre-setting, measuring, shut-off, & draining.",https://www.victaulic.com/products/ta-series-790-balancing-valve-for-potable-water-applications/
TC,TA Series TC/TCM Terminal Balancing and Control Valve for Modulating and On-Off Control,Valves,,TA Series TC- designed for on-off control. TA Series TCM- designed for modulating control or on-off. Ensures accurate hydronic control and optimum throughput over a long lifetime,https://www.victaulic.com/products/ta-series-tcm-tbv-ta-series-tc-tbv-terminal-balancing-and-control-valve-for-control/
7MP,TA Series 7MP Pressure Independent Balancing and Modulating Control Valve,Valves,,"EQM (Equal Percentage Modified) flow characteristics provide highly precise temperature control. Sizes from ½ - 6"" | DN15 - DN150. Pressures up to 362 psi | 2496 kPa | 25 bar",https://www.victaulic.com/products/ta-series-7mp-compact-pressure-independent-balancing-and-control-valve/
76X,Series 76X ICSS Low Lead Balancing Valve,Valves,,Used in drinking water applications. NSF Certified in accordance with ANSI/NSF 61 to 180°F | 82°C and ANSI/NSF 372. Differential pressure options 2 - 32 psi | 13.78 - 220.6 kPa | .15 - 2 bar and 5 - 60 psi | 34 - 414 kPa | 3 - 4 bar,https://www.victaulic.com/products/series-76x-icss-low-lead-balancing-valve/
,KOIL-KIT™ Standard Coil Packs,Fire Protection,,"Suitable for a variety of hot and cold water applications, including treated and untreated water systems. The Series 799 consists of the following components: a Series 78Y Y-strainer/ball valve or Series 78T ball valve union combination; a Series 78U union port fitting; and a Series 78K, Series 786",https://www.victaulic.com/products/koil-kit-coil-pack799-79v-79a-79b/
76W,TA Series 76W 6-Way Valve,Valves,,"For use in hydronic heating and cooling (change-over) systems, using water, neutral fluids or water-glycol mixtures. Linear for on/off control. Sizes from 1/2 – 3/4″ | DN15 – DN20",https://www.victaulic.com/products/ta-series-76w-6-way-valve/
793,TA Series 793/794 Differential Pressure Controller,Fire Protection,,"Capable of stabilizing differential pressures up to 23.3 psi | 160 kPa | 1.6 bar. Series 793 Features Ametal body providing dielectric protection Sizes from ½ - 2"" | DN15 - DN50. Features Ametal body providing dielectric protection",https://www.victaulic.com/products/series-793-series-794-ta-differential-pressure-controller/
7PR,TA Series 7PR Differential Pressure Controller,Fire Protection,,"Features a ductile iron valve body and a non-ferrous AMETAL® DZR brass copper alloy pilot body. Sizes from 2 ½ - 8"" | DN65 - DN200. Capable of stabilizing differential pressures up to 116 psi | 800 kPa | 8 bar",https://www.victaulic.com/products/ta-series-7pr-differential-pressure-controller/
7DA,TA Series 7DA Compact Differential Pressure Controller,Fire Protection,,"Provides differential pressure control for heating and cooling systems. Sizes from ½ - 2"" | DN15 - DN50. Pressures up to 365 psi | 2517 kPa | 25 bar",https://www.victaulic.com/products/ta-series-compact-differential-pressure-controller/
782,TA Series 782 Differential Pressure Relief Valve,Valves,,Adjustable bypass pressure relief for heating and cooling systems. Sizes from ½ – 1 ¼” | DN15 – DN32. Pressures up to 290 psi | 2000 kPa | 20 bar,https://www.victaulic.com/products/victaulic-differential-pressure-relief-valve-ta-series-782/
,KOIL-KIT™ Coil Packs for Air Handling Units,Fire Protection,,Series 79C and 79D consist of a Series 732 strainer with a blow down drain valve and a balancing valve. Series 79D includes the option of adding a Style 925 drain/air vent assembly included with the coil package. The Style 925 is provided with a Style 107N QuickVic rigid coupling which is used for c,https://www.victaulic.com/products/series-79c-series-79d-koil-kit-coil-packs-for-air-handling-units/
7890,Series 7890 Oventrop Double Regulating and Commissioning Valve,Valves,,"Valve performs presetting, measuring, isolating, filling and draining system functions. Preset memory position to achieve system balance. Sizes from DN65 – DN300 | 2½ – 12""",https://www.victaulic.com/products/series-7890-oventrop-double-regulating-commissioning-valve/
AB14,VicFlex™ Style AB14 Bracket,Fire Protection,,"The VicFlex™ Style AB14 Bracket is an elbow shaped stand-off mount for wood and metal joists, compatible with pendent or sidewall sprinklers.",https://www.victaulic.com/products/vicflex-style-ab14-bracket/
HP-170,Style HP-170 Rigid Coupling,Couplings,,EndSeal™ (ES) or Original Groove System (OGS) groove compatibility Sizes from 2’’ – 8’’ I DN50 – DN200 Pressures […],https://www.victaulic.com/products/style-hp-170-rigid-coupling/
W371,Series W371 Open Stem & Yoke (OS&Y) Gate Valve,Valves,,Series W371. Available Sizes: 14” - 16” IPS. Pressure Class: 250 psi /1725 kPa /17 Bar. Operating Temperature: -20°F to + 180°F/-29°C to +82°C,https://www.victaulic.com/products/series-w371-open-stem-yoke-oy-gate-valve/
386-DL,Series 386-DL Pressure Reducing Valve Stations,Valves,,Our Series 386-DL Pressure Reducing Valve Stations come pre-assembled and offer integrated low-flow bypass for low water demand situations.,https://www.victaulic.com/products/series-386-dl-pressure-reducing-valve-stations/
341,Style 341 Flange Adapter,Fire Protection,,"Style 341. Designed for direct connection of flanged components into a grooved cast or ductile system. Designed for Class 53 or higher pipe. Sizes from 3 - 24"" | DN80 - DN600",https://www.victaulic.com/products/style-341-vic-flange-adapter/
,Grooved Fittings for Stainless Steel,Fittings,,"Original grooved system (OGS) ends eliminate pipe end preparation for the stainless steel fittings. Available in ANSI Schedule 10S or Schedule 40S, type 304L or 316L. Sizes from ¾ - 12"" | DN20 - DN300",https://www.victaulic.com/products/grooved-fittings-for-stainless-steel/
31R,Style 31R AWWA Rigid Coupling,Couplings,,The Style 31R AWWA Rigid Coupling was designed to restrict axial or angular movement on class 53 or higher ductile iron pipe.,https://www.victaulic.com/products/style-31r-awwa-rigid-coupling/
CG336,CG336 Portable Cut Grooving Tool,Fire Protection,,• Modular field fabrication cut grooving tool• Designed to simultaneously square cut and groove ductile iron pipe ends,https://www.victaulic.com/products/cg336-portable-cut-grooving-tool/
FL-QR,FireLock™ Series FL-QR/DRY/ESFR Sprinklers,Sprinklers,,FireLock™ Series FL-QR/DRY/ESFR. Light | Ordinary | Extra | Storage. K16.8 | S.I.24.2,https://www.victaulic.com/products/firelock-series-fl-qr-dry-esfr-sprinklers/
607,Style 607/607Z QuickVic™ Installation-Ready™ Rigid Coupling for Copper Tubing,Couplings,,"Style 607. Installation-Ready™ design. For joining CTS copper tube. Designed for use on K, L, M or DWV copper tubing",https://www.victaulic.com/products/style-607-quickvic-rigid-coupling-for-copper/
W77S,Style W77S Stainless Steel Flexible Coupling,Couplings,,"The Style W77S Stainless Steel Flexible Coupling features a wedge-shaped key profile, ranging in sizes from 14 – 24″ | DN350 – DN600.",https://www.victaulic.com/products/style-w77s-stainless-steel-flexible-coupling/
UBA,Series UBA Unibody Automatic Flow Limiting Balancing Valve,Valves,,"The Series UBA Unibody Automatic Flow Limiting Balancing Valve offers ease of commissioning and maintenance, flow control, and more.",https://www.victaulic.com/products/series-uba-unibody-automatic-flow-limiting-balancing-valve/
769N,FireLock NXT™ Series 769N Preaction System Check Valve,Valves,,"Available bare, pretrimmed, as a Vic-Quick riser or in a Series 745 FireLock Fire-Pac cabinet with sizes ranging from 1½ - 8"" | DN40 - DN200.",https://www.victaulic.com/products/firelock-nxt-series-769n-preaction-system-check-valve/
771F,FireLock™ Series 771F OS&Y Gate Valve,Valves,,Available as Groove × Groove or Groove × Flange*. It's best used when positive shut-off is required in a fire line and a quick visual indicator of open/closed position is needed.,https://www.victaulic.com/products/series-771f-firelock-osy-gate-valve/
W489,Style W489 AGS Stainless Steel Rigid Coupling,Couplings,,Style W489 AGS Stainless Steel Rigid Coupling greatly reduces linear or angular movement and is useful for valve connections where rigidity is required.,https://www.victaulic.com/products/style-w489-ags-stainless-steel-rigid-coupling/
UH1,Series UH1 Flexible Pipe,Fire Protection,,Victaulic's Series UH1 Flexible Pipe is available in ½ – 1″ diameter and is ideal for hot and cold water treated systems.,https://www.victaulic.com/products/series-uh1-flex-pipe/
FL-QR,FireLock™ Series FL-QR/ST/ESFR Sprinklers,Sprinklers,,"V4806, K22.4 | 32.0 SI V4808, K22.4 | 32.0 SI",https://www.victaulic.com/products/firelock-series-fl-qr-st-esfr-sprinklers/
VE26,VE26/VE46 Power Drive Kit,Fire Protection,,"Allows tools to be directly mounted to either a Victaulic VPD752 or Ridgid® 300 Power Drive. Tools with serial numbers ending in ""C"" are compatible with the Power Drive Kit. Contact Victaulic for details. Weight: 7 lbs. | 3 kg",https://www.victaulic.com/products/style-ve26ve46-vic-easy-power-drive-kit/
,Victaulic Unibody Koil-Kit™ Coil Pack,Fire Protection,,"The Victaulic Unibody Koil-Kit™ Coil Pack is suitable for hot and cold water applications, including treated and untreated water systems.",https://www.victaulic.com/products/victaulic-unibody-koil-kit-coil-pack/
,No. 10-DR Drain Elbow,Fittings,,"Standard fitting pressure ratings conform to ratings of installed coupling. All fittings supplied with grooves for fast installation. Fittings available from 2½ - 6"" | DN65 - DN150",https://www.victaulic.com/products/no-10-dr-drain-elbow/
385,Series 385 Vibration Isolation Air Handling Unit (AHU) Drop,Fire Protection,,"Provides hook-ups to address AHU piping needs for isolation, straining, balancing and draining. Swing joint accommodates variable nature of coil misalignment and variants in vertical spacing during installation. Offered in six standard configurations (Series 385A, 385B, 385C, 385D, 385E, 385F)",https://www.victaulic.com/products/series-385-vibration-air-handling-unit-ahu-drop/
